Log created: 2026-08-26 04:12:57
Type: backup
[2026-08-26 04:13:00][notice]Preparing to dump table wp_aiowps_audit_log
[2026-08-26 04:13:00][notice]Preparing to dump table wp_postmeta
[2026-08-26 04:13:00][notice]Preparing to dump table wp_wc_orders
[2026-08-26 04:13:00][notice]Preparing to dump table wp_wpforms_payments
[2026-08-26 04:13:00][notice]Preparing to dump table wp_actionscheduler_actions
[2026-08-26 04:13:00][notice]Preparing to dump table wp_posts
[2026-08-26 04:13:00][notice]Preparing to dump table wp_options
[2026-08-26 04:13:00][notice]Exporting database finished.
[2026-08-26 04:13:00][notice]Start compressing database
[2026-08-26 04:13:00][notice]Prepare to zip file. file: spt.ddev.site_wpvivid-2ef05e041b00f_2026-08-26-04-12_backup_db.sql
[2026-08-26 04:13:00][notice]Adding zip files completed.spt.ddev.site_wpvivid-2ef05e041b00f_2026-08-26-04-12_backup_db.part001.zip, filesize: 388,53 Ko
[2026-08-26 04:13:00][notice]Compressing database completed
[2026-08-26 04:13:00][notice]Backing up backup_db completed.
[2026-08-26 04:13:00][notice]Backup completed.
